"Table 23 Housing market: simple average house prices by new/other dwellings, type of buyer and  region, United Kingdom, from 1986 1, 2, 3",,,,,,,,,,
Previously DCLG table 503,,,,,,,,,,
,,New dwellings,,Other dwellings,,All dwellings,,First time buyers,,Former owner occupiers
,,Price,,Price,,Price,,Price,,Price
,,£,,£,,£,,£,,£
UNITED KINGDOM,,,,,,,,,,
K02000001,,,,,,,,,,
1987,,"61,000",,"66,000",,"66,000",,"54,000",,"83,000"
1988,,"76,000",,"78,000",,"78,000",,"63,000",,"100,000"
1989,,"85,000",,"82,000",,"82,000",,"67,000",,"110,000"
1990,,"95,000",,"83,000",,"84,000",,"69,000",,"111,000"
1991,,"84,000",,"86,000",,"86,000",,"69,000",,"108,000"
1992,,"72,000",,"78,000",,"78,000",,"65,000",,"101,000"
1993,,"78,000",,"81,000",,"81,000",,"66,000",,"110,000"
1994,,"75,000",,"88,000",,"88,000",,"62,000",,"120,000"
1995,,"84,000",,"88,000",,"90,000",,"66,000",,"122,000"
1996,,"99,000",,"93,000",,"94,000",,"67,000",,"123,000"
1997,,"116,000",,"105,000",,"106,000",,"74,000",,"137,000"
1998,,"125,000",,"114,000",,"115,000",,"90,000",,"146,000"
1999,,"178,000",,"140,000",,"142,000",,"115,000",,"175,000"
2000,,"211,000",,"161,000",,"164,000",,"125,000",,"206,000"
2001,,"219,000",,"183,000",,"182,000",,"141,000",,"222,000"
2002,,"239,000",,"205,000",,"207,000",,"170,000",,"230,000"
2003,,"315,000",,"239,000",,"242,000",,"175,000",,"272,000"
2004,,"311,000",,"269,000",,"273,000",,"204,000",,"299,000"
2005,,"314,000",,"280,000",,"283,000",,"216,000",,"316,000"
2006,,"277,000",,"307,000",,"306,000",,"237,000",,"362,000"
2007,,"265,000",,"347,000",,"342,000",,"259,000",,"408,000"
2008,,"264,000",,"357,000",,"351,000",,"263,000",,"421,000"
2009,,"222,000",,"344,000",,"338,000",,"254,000",,"413,000"
2010,,"256,000",,"391,000",,"385,000",,"293,000",,"463,000"
2011,,"301,000",,"402,000",,"401,000",,"304,000",,"485,000"
2012,,"326,000",,"408,000",,"410,000",,"318,000",,"493,000"
2013,,"362,000",,"424,000",,"428,000",,"333,000",,"530,000"
2014,,"460,000",,"469,000",,"470,000",,"364,000",,"588,000"
2015,,"484,000",,"518,000",,"514,000",,"383,000",,"657,000"
2016,,"468,000",,"542,000",,"534,000",,"414,000",,"685,000"
2017,,"472,000",,"547,000",,"536,000",,"422,000",,"681,000"
2018,,"477,000",,"549,000",,"538,000",,"429,000",,"692,000"
