,Region,House Price to Earnings Ratio,Date
411,E Anglia,5.5,04/01/2003
412,Outer SE,6,04/01/2003
413,Outer Met,6.4,04/01/2003
414,London,6.5,04/01/2003
415,S West,6.1,04/01/2003
416,Wales,4.4,04/01/2003
417,Scotland,3.7,04/01/2003
418,N Ireland,4.2,04/01/2003
419,UK,5,04/01/2003
420,North,4.3,07/01/2003
421,Yorks & H,4.6,07/01/2003
422,N West,4.6,07/01/2003
423,E Mids,5.1,07/01/2003
424,W Mids,5.5,07/01/2003
425,E Anglia,5.6,07/01/2003
426,Outer SE,6.1,07/01/2003
427,Outer Met,6.5,07/01/2003
428,London,6.5,07/01/2003
429,S West,6.3,07/01/2003
430,Wales,4.6,07/01/2003
431,Scotland,3.8,07/01/2003
432,N Ireland,4.3,07/01/2003
433,UK,5.1,07/01/2003
434,North,4.5,10/01/2003
435,Yorks & H,4.8,10/01/2003
436,N West,4.7,10/01/2003
437,E Mids,5.3,10/01/2003
438,W Mids,5.6,10/01/2003
439,E Anglia,5.6,10/01/2003
440,Outer SE,6.2,10/01/2003
441,Outer Met,6.5,10/01/2003
442,London,6.7,10/01/2003
443,S West,6.5,10/01/2003
444,Wales,4.9,10/01/2003
445,Scotland,3.9,10/01/2003
446,N Ireland,4.3,10/01/2003
447,UK,5.2,10/01/2003
448,North,4.9,01/01/2004
449,Yorks & H,5,01/01/2004
450,N West,5.1,01/01/2004
451,E Mids,5.5,01/01/2004
452,W Mids,5.7,01/01/2004
453,E Anglia,5.9,01/01/2004
454,Outer SE,6.4,01/01/2004
455,Outer Met,6.7,01/01/2004
456,London,6.9,01/01/2004
457,S West,6.6,01/01/2004
458,Wales,5.3,01/01/2004
459,Scotland,4.1,01/01/2004
460,N Ireland,4.4,01/01/2004
461,UK,5.4,01/01/2004
462,North,5.2,04/01/2004
463,Yorks & H,5.5,04/01/2004
464,N West,5.5,04/01/2004
465,E Mids,5.8,04/01/2004
466,W Mids,6.1,04/01/2004
467,E Anglia,6.1,04/01/2004
468,Outer SE,6.7,04/01/2004
469,Outer Met,6.9,04/01/2004
470,London,7.1,04/01/2004
471,S West,7,04/01/2004
472,Wales,5.7,04/01/2004
473,Scotland,4.5,04/01/2004
474,N Ireland,4.6,04/01/2004
475,UK,5.8,04/01/2004
476,North,5.4,07/01/2004
477,Yorks & H,5.7,07/01/2004
478,N West,5.7,07/01/2004
479,E Mids,5.9,07/01/2004
480,W Mids,6.3,07/01/2004
481,E Anglia,6.3,07/01/2004
482,Outer SE,6.9,07/01/2004
483,Outer Met,7,07/01/2004
484,London,7.2,07/01/2004
485,S West,7.2,07/01/2004
486,Wales,5.9,07/01/2004
487,Scotland,4.6,07/01/2004
488,N Ireland,4.8,07/01/2004
489,UK,5.9,07/01/2004
490,North,5.3,10/01/2004
491,Yorks & H,5.6,10/01/2004
492,N West,5.7,10/01/2004
493,E Mids,5.8,10/01/2004
494,W Mids,6.1,10/01/2004
495,E Anglia,6.2,10/01/2004
496,Outer SE,6.8,10/01/2004
497,Outer Met,6.9,10/01/2004
498,London,7.1,10/01/2004
499,S West,7.1,10/01/2004
500,Wales,5.9,10/01/2004
501,Scotland,4.5,10/01/2004
502,N Ireland,4.9,10/01/2004
503,UK,5.8,10/01/2004
504,North,5.3,01/01/2005
505,Yorks & H,5.6,01/01/2005
506,N West,5.7,01/01/2005
507,E Mids,5.7,01/01/2005
508,W Mids,6.1,01/01/2005
509,E Anglia,6.2,01/01/2005
510,Outer SE,6.7,01/01/2005
511,Outer Met,6.8,01/01/2005
512,London,6.9,01/01/2005
513,S West,7,01/01/2005
514,Wales,5.8,01/01/2005
515,Scotland,4.6,01/01/2005
516,N Ireland,4.8,01/01/2005
517,UK,5.8,01/01/2005
518,North,5.4,04/01/2005
519,Yorks & H,5.8,04/01/2005
520,N West,5.7,04/01/2005
521,E Mids,5.7,04/01/2005
522,W Mids,6.2,04/01/2005
523,E Anglia,6.2,04/01/2005
524,Outer SE,6.8,04/01/2005
525,Outer Met,6.9,04/01/2005
526,London,7.1,04/01/2005
527,S West,7.1,04/01/2005
528,Wales,5.8,04/01/2005
529,Scotland,4.7,04/01/2005
530,N Ireland,5,04/01/2005
531,UK,5.9,04/01/2005
532,North,5.3,07/01/2005
533,Yorks & H,5.7,07/01/2005
534,N West,5.8,07/01/2005
535,E Mids,5.7,07/01/2005
536,W Mids,6.2,07/01/2005
537,E Anglia,6.2,07/01/2005
538,Outer SE,6.7,07/01/2005
539,Outer Met,6.8,07/01/2005
540,London,7.1,07/01/2005
541,S West,7,07/01/2005
542,Wales,5.8,07/01/2005
543,Scotland,4.7,07/01/2005
544,N Ireland,5.1,07/01/2005
545,UK,5.8,07/01/2005
546,North,5,10/01/2005
547,Yorks & H,5.7,10/01/2005
548,N West,5.7,10/01/2005
549,E Mids,5.6,10/01/2005
550,W Mids,6,10/01/2005
551,E Anglia,6.1,10/01/2005
552,Outer SE,6.6,10/01/2005
553,Outer Met,6.7,10/01/2005
554,London,7,10/01/2005
555,S West,7,10/01/2005
556,Wales,5.6,10/01/2005
557,Scotland,4.7,10/01/2005
558,N Ireland,5.3,10/01/2005
559,UK,5.8,10/01/2005
560,North,5.2,01/01/2006
561,Yorks & H,5.7,01/01/2006
562,N West,5.8,01/01/2006
563,E Mids,5.6,01/01/2006
564,W Mids,6,01/01/2006
565,E Anglia,6.1,01/01/2006
566,Outer SE,6.6,01/01/2006
567,Outer Met,6.8,01/01/2006
568,London,7.1,01/01/2006
569,S West,7,01/01/2006
570,Wales,5.8,01/01/2006
571,Scotland,4.8,01/01/2006
572,N Ireland,5.4,01/01/2006
573,UK,5.8,01/01/2006
574,North,5.3,04/01/2006
575,Yorks & H,5.8,04/01/2006
576,N West,5.8,04/01/2006
577,E Mids,5.6,04/01/2006
578,W Mids,6.1,04/01/2006
579,E Anglia,6.2,04/01/2006
580,Outer SE,6.7,04/01/2006
581,Outer Met,6.9,04/01/2006
582,London,7.2,04/01/2006
583,S West,7.1,04/01/2006
584,Wales,5.9,04/01/2006
585,Scotland,5,04/01/2006
586,N Ireland,6,04/01/2006
587,UK,5.9,04/01/2006
588,North,5.2,07/01/2006
589,Yorks & H,5.9,07/01/2006
590,N West,5.8,07/01/2006
591,E Mids,5.7,07/01/2006
592,W Mids,6.1,07/01/2006
593,E Anglia,6.3,07/01/2006
594,Outer SE,6.8,07/01/2006
595,Outer Met,7,07/01/2006
596,London,7.4,07/01/2006
597,S West,7.1,07/01/2006
598,Wales,5.9,07/01/2006
599,Scotland,5.2,07/01/2006
600,N Ireland,6.5,07/01/2006
601,UK,6,07/01/2006
602,North,5.3,10/01/2006
603,Yorks & H,5.9,10/01/2006
604,N West,5.8,10/01/2006
605,E Mids,5.7,10/01/2006
606,W Mids,6.1,10/01/2006
607,E Anglia,6.4,10/01/2006
608,Outer SE,6.9,10/01/2006
609,Outer Met,7.1,10/01/2006
610,London,7.6,10/01/2006
611,S West,7.2,10/01/2006
